Participant,Timestamp,X,Y
P5,106966094.5183,686.139030158652,498.994874825174
P5,106966125.3793,244.835624749008,547.559008348608
P5,106966155.95,197.939301470726,542.243891454086
P5,106966186.3978,191.583838350071,535.372591047002
P5,106966216.3856,174.744661982577,539.350546344457
P5,106966246.6202,179.207940208872,539.433524543496
P5,106966277.1056,176.418160603428,537.354498466455
P5,106966307.2374,175.100661844876,535.908060885742
P5,106966337.6295,175.444057376301,534.162576752205
P5,106966367.5364,182.101234541431,533.848972932361
P5,106966398.2207,183.265877214742,533.451458561033
P5,106966428.3799,182.707067557507,532.109701025089
P5,106966458.3451,180.447475450868,533.398219633304
P5,106966488.6344,177.716198010813,533.400920429502
P5,106966518.9511,171.912457541078,533.574108533086
P5,106966548.9804,162.615743462968,539.048540067982
P5,106966579.0264,161.95400212017,538.989096511223
P5,106966609.4599,150.848331207266,530.652924247084
P5,106966639.6694,145.679573711735,527.238795500046
P5,106966669.7572,148.23675513576,531.895513514731
P5,106966699.9687,146.924193572112,532.071363843022
P5,106966730.1092,689.441590118396,684.78690016375
P5,106966760.2348,800.541593957651,722.637075048597
P5,106966790.4234,790.773664577353,727.465060062465
P5,106966820.635,805.010979886309,733.314300405748
P5,106966850.7897,797.687773207783,724.298625894384
P5,106966881.199,801.479332496182,721.970665331501
P5,106966911.1661,802.907002249989,710.750015655289
P5,106966941.5647,798.779616836465,699.99922886513
P5,106966971.4544,751.571312190938,713.274168184068
P5,106967001.9187,733.70403332848,718.974190672902
P5,106967032.1157,739.016893446837,714.654631495818
P5,106967062.2755,736.44719536028,707.584219941031
P5,106967092.5809,726.373533362881,693.492824025622
P5,106967122.4687,720.830150618781,671.387438109538
P5,106967152.923,724.391789673767,666.628135692295
P5,106967183.1433,722.928758402608,656.415806200577
P5,106967213.1033,722.525463726725,650.984148091984
P5,106967243.4254,720.781092869859,643.339839235094
P5,106967273.8818,722.073910611585,621.17669208902
P5,106967304.4762,721.299641924179,623.597624167144
P5,106967334.6103,719.093215828421,490.618509180892
P5,106967363.3063,722.798794265749,446.128796513699
P5,106967393.5388,718.552732401177,445.724044713764
P5,106967423.5915,707.278325414079,436.048432054495
P5,106967453.8981,707.554688768887,442.249687572119
P5,106967485.0339,709.610971236148,435.99277919194
P5,106967515.446,711.578273004711,415.666109228293
P5,106967545.9191,714.764547855724,406.400601213432
P5,106967576.1166,714.469405262551,403.398754180917
P5,106967606.1585,707.909747184761,403.740956318358
P5,106967639.4257,702.832388117201,403.908894338621
P5,106967666.3616,277.188192797556,418.656805679133
P5,106967697.0578,180.79065488095,428.60264332814
P5,106967726.961,174.145733486375,433.670727778607
P5,106967757.1788,176.484801837053,434.247058440121
P5,106967787.492,176.635957584734,436.504217070213
P5,106967817.771,176.885035053544,437.762778042795
P5,106967847.9364,176.506898142826,439.646765579989
P5,106967877.9681,178.458975279096,437.566278841142
P5,106967908.1464,178.685115748605,437.558522060923
P5,106967938.4326,178.711425454948,430.715483882406
P5,106967973.0238,178.696554078615,431.431686204241
P5,106967999.2037,217.024619721312,429.402502559448
P5,106968028.9093,234.160485869175,431.328139983462
P5,106968059.0849,235.812606304035,434.158292674042
P5,106968089.5804,236.603934163409,433.678721700712
P5,106968119.5729,240.994086184545,431.223785475855
P5,106968150.2132,249.660844194797,430.862168509105
P5,106968180.3789,659.077277535143,585.071737541249
P5,106968210.588,705.326120930066,591.235313318588
P5,106968240.7565,720.127627556584,577.800387406671
P5,106968271.2285,726.549322983062,577.340270236842
P5,106968301.1166,728.43750347562,574.991197270036
P5,106968331.4104,727.840783763538,577.322531472455
P5,106968361.4495,723.383817540907,570.085503888623
P5,106968392.0877,724.668140300959,571.108992374781
P5,106968422.3401,725.710380102802,565.298641602145
P5,106968452.2783,726.02869290406,566.168150558341
P5,106968482.2755,732.497042070351,753.159408813976
P5,106968512.7441,737.390434814359,787.235871259411
P5,106968542.633,744.762154210723,782.877652949929
P5,106968572.8699,743.876943103448,783.798861099394
P5,106968603.2783,747.752049973342,785.660216690561
P5,106968633.4442,749.124880607939,786.907884069835
P5,106968663.8507,747.520224373645,789.233820545223
P5,106968693.7935,727.626935012434,807.110013108955
P5,106968723.7558,712.853395067597,804.707371705945
P5,106968754.143,711.135249424491,797.809553400719
P5,106968784.4648,712.803056023875,783.440777780049
P5,106968814.4586,707.986288144128,773.176712009447
P5,106968844.8466,704.3838757894,767.255598240353
P5,106968874.9609,699.691078211877,751.635315852268
P5,106968905.1862,705.743571309826,714.946595919353
P5,106968935.3175,704.279798916588,700.507331876348
P5,106968965.9269,699.046998730252,720.762639220398
P5,106968996.0411,687.857362405349,808.637498746769
P5,106969026.3805,681.056297606267,850.837085821593
P5,106969056.313,682.01635527312,854.274506379785
P5,106969086.3302,672.378056378309,859.094330769017
P5,106969116.5312,674.694461200856,851.537559545295
P5,106969146.8841,686.821632711842,843.728533510284
P5,106969177.0133,700.44246023236,854.177405980535
P5,106969207.4139,700.396700039281,849.535987979362
P5,106969237.398,706.426665297152,857.201427077241
P5,106969267.66,704.329774443697,861.71554737387
P5,106969297.7605,700.420356982455,859.900539413247
P5,106969327.7882,708.083638150831,856.141552341431
P5,106969358.3558,722.330034678332,836.637505065531
P5,106969388.7346,710.960886088615,823.613511522
P5,106969418.898,715.464760186486,789.294427985099
P5,106969448.7389,708.832370625526,763.987388001685
P5,106969478.9504,715.703972520714,746.943317504473
P5,106969509.4431,707.17408086695,730.278993859662
P5,106969539.5315,716.892986845569,691.446241180442
P5,106969569.9672,720.525537831763,646.808785585593
P5,106969600.2406,737.603891752809,593.172544794414
P5,106969630.1545,732.581617677428,599.96359125104
P5,106969660.4632,733.578311055843,595.709968198475
P5,106969690.6423,731.069657713957,593.065460620898
P5,106969720.8667,730.765202037774,594.270050727526
P5,106969751.0397,730.395110623414,592.28345746591
P5,106969781.253,731.707253526272,597.170846787679
P5,106969811.6903,732.71352773531,601.21074353567
P5,106969841.7748,726.482395340066,609.283853787797
P5,106969871.7268,715.789530038718,610.73320202401
P5,106969902.2247,714.75853117312,610.58160079703
P5,106969932.0781,714.847451415275,609.756521543211
P5,106969961.6274,280.367235789391,682.959324110677
P5,106969992.1438,195.639088306076,678.324313942945
P5,106970022.9565,189.128091503616,663.130487715035
P5,106970053.1748,185.004833986765,662.673639751492
P5,106970083.2122,183.799784258883,661.96325779328
P5,106970113.4942,180.702749788876,659.345503906919
P5,106970143.4552,184.760090731988,656.990601042274
P5,106970173.7215,190.519184049206,655.543819679312
P5,106970204.2075,188.090652120337,656.476304747393
P5,106970234.3893,188.885915171295,654.537866486938
P5,106970264.5457,179.170576580002,655.020301502872
P5,106970294.5684,173.002464710029,652.367661107557
P5,106970325.0192,172.081478212661,654.331792219683
P5,106970355.1224,171.240987009479,653.68886855158
P5,106970385.5577,169.028789415409,654.381422538497
P5,106970415.1146,168.617965224623,649.90172984472
P5,106970445.5624,170.212752308293,650.63388316249
P5,106970475.9588,171.169025719952,652.063604461862
P5,106970506.5028,173.780212061202,654.519434257175
P5,106970536.4723,173.642097441634,654.615596365723
P5,106970566.3431,255.438860684926,637.95519422919
P5,106970596.988,267.241061306282,631.449279657846
P5,106970627.0904,276.565390507138,640.509180630805
P5,106970657.2908,277.519745804214,640.383282797752
P5,106970687.4537,283.258096382341,642.519002805626
P5,106970717.6026,280.903586331669,640.741424946452
P5,106970747.9307,284.968523005627,644.038199925901
P5,106970777.9953,284.305320463371,646.853248699922
P5,106970808.3362,276.735053831151,635.890877592802
P5,106970838.4513,281.689450181683,639.591656471193
P5,106970868.6169,279.985485614099,636.932619146824
P5,106970898.9739,696.613259395245,695.203046371378
P5,106970928.9931,705.53134876426,693.194132223073
P5,106970959.4233,732.306284511194,673.950464426344
P5,106970989.5296,732.472662143803,661.94771417493
P5,106971019.5541,728.812304486531,657.374184027943
P5,106971050.1628,730.39394168844,661.673611637117
P5,106971080.3983,732.176828571112,663.176861829275
P5,106971110.2176,737.111504059743,671.801774786131
P5,106971140.4906,730.741700937559,685.797154111702
P5,106971170.58,728.09222763243,686.736923320888
P5,106971200.6685,722.468607283993,691.783022861166
P5,106971230.9842,731.661740793675,666.035394266886
P5,106971261.3176,721.917901657251,650.162145362295
P5,106971291.3727,724.032028629758,635.431585733148
P5,106971322.1398,722.700897882708,621.393058887961
P5,106971351.9531,726.002498528281,601.739616661343
P5,106971382.2744,731.866684096741,550.770242292779
P5,106971412.2414,726.616978964264,537.860827367194
P5,106971442.6792,726.316070390077,522.632815191559
P5,106971473.1575,723.03264367513,516.803446067833
P5,106971503.2724,724.578251075128,490.179048293831
P5,106971533.3007,726.814140569124,484.612107667445
P5,106971563.4903,721.498622627172,479.277642824696
P5,106971592.5059,710.506051106343,471.894075889619
P5,106971623.5009,369.038822172178,503.793045215109
P5,106971653.6309,201.686931115406,523.853054377176
P5,106971684.3745,197.17668729617,518.437905888229
P5,106971714.4188,195.698981987618,519.566450608499
P5,106971744.6191,194.727332214546,517.10974651085
P5,106971775.146,194.193546469774,518.751606422264
P5,106971805.256,193.225412081536,518.735507174748
P5,106971835.376,186.552309511605,516.597521596747
P5,106971865.4305,179.340865878416,516.357619218967
P5,106971895.671,173.189580291776,518.028603743875
P5,106971925.9511,165.151153916795,516.936869715556
P5,106971955.9168,167.405844604021,518.291414948177
P5,106971986.1692,168.663276732269,519.359732546448
P5,106972016.265,170.644173870736,524.994066684358
P5,106972046.5258,167.342400368374,526.888096995111
P5,106972076.7554,163.757469812986,527.745194745549
P5,106972106.8268,162.701526250428,524.435803897234
P5,106972137.0289,163.336959089406,524.662068378415
P5,106972167.4624,220.785595718048,527.153382840453
P5,106972197.5077,226.671772251037,528.203740667865
P5,106972227.8416,228.396943550515,518.955060535144
P5,106972258.2721,223.809543203473,520.158438655335
P5,106972288.4608,224.388722307191,521.814218558379
P5,106972318.6255,235.284941676825,518.872530244266
P5,106972348.9452,273.766622441954,504.934485569691
P5,106972379.2497,288.575529932196,493.325306065522
P5,106972409.3935,285.761411224399,496.95639684133
P5,106972439.531,286.556418413789,500.54329182609
P5,106972469.5153,284.909049380637,500.4504195718
P5,106972499.704,285.479754558577,502.070244871562
P5,106972530.3037,282.547963340925,499.560096086425
P5,106972560.2354,377.48171932724,493.501246017783
P5,106972590.5215,417.033017817045,486.822906393721
P5,106972620.5454,420.906510164221,487.55654261517
P5,106972650.6997,422.263180089983,487.585105209129
P5,106972680.9646,419.597653878138,489.469072952412
P5,106972710.9609,420.107342671166,492.431681002175
P5,106972741.4683,417.782102330329,488.268917327572
P5,106972771.6997,415.224057855968,483.231728057116
P5,106972802.2705,439.102845573183,491.685442146395
P5,106972831.9213,458.727618497223,490.197095407477
P5,106972862.26,490.42613693312,487.598464905834
P5,106972892.6569,490.535504685038,488.163851899332
P5,106972922.9161,500.030543059118,481.073078325846
P5,106972953.1628,505.787605835394,482.628206533208
P5,106972983.1547,632.539477379196,493.891819954982
P5,106973013.5371,692.677862123086,484.694432178416
P5,106973043.5494,698.154563267924,475.472823612659
P5,106973073.9602,699.24520474522,488.280168440609
P5,106973103.9257,696.933956582482,484.28119354244
P5,106973134.2896,690.770050833029,503.275997119265
P5,106973164.2895,690.584954402132,500.879009559662
P5,106973194.2938,691.930411736453,496.784625424502
P5,106973224.9414,692.284667884752,490.463632464284
P5,106973254.8643,463.643144308838,494.974446534768
P5,106973285.3272,428.582240120671,493.278735962993
P5,106973315.3472,421.545734522953,484.129918002767
P5,106973345.5828,423.161630562367,486.29767312031
P5,106973376.0273,423.601446280742,486.586713675163
P5,106973406.0772,422.837866898504,489.118751035183
P5,106973436.5489,422.216455184801,486.198750881336
P5,106973466.772,421.423520377611,479.399119886492
P5,106973496.5924,437.402309739323,488.164866963988
P5,106973527.0552,445.421537869353,493.779003967489
P5,106973557.2068,458.845663286817,487.479086886605
P5,106973587.6005,462.041253425006,492.191338916857
P5,106973617.575,458.750583889711,489.755969404037
P5,106973647.7773,463.500510403496,497.17632684501
P5,106973677.9428,471.444606070702,491.869197760386
P5,106973708.3966,471.724799187669,493.487804931453
P5,106973738.6808,468.158451174874,495.062404908052
P5,106973768.6265,467.644907735692,495.122214928751
P5,106973798.936,463.484626110484,493.663727709685
P5,106973828.9627,465.104720802243,493.783874847727
